DNA_ID;sample.names
LR001;PR01
LR002;PR03
LR003;PR05
LR004;PR07
LR005;PR09
LR006;LR01
LR007;LR03
LR008;LR05
LR009;LR06
LR010;LR09
LR011;LR10
LR012;PR11
LR013;LR12
LR014;LR13
LR015;LR14
LR016;LR15
LR017;LR17
LR018;LR18
LR019;LR19
LR020;LR20
LR021;LRH04
LR022;LRH07
LR023;LRH08
LR024;LRH09
LR025;LRH10
LR026;RO2-01
LR027;RO2-03
LR028;RO2-05
LR029;RO2-06
LR030;RO2-07
LR031;RO2-08
LR032;RO2-09
LR033;RO2-13
LR034;L313
LR035;L314
LR036;L315
LR037;L316
LR038;L317
LR039;L318
LR040;L319
LR041;L320
LR042;WELL1
LR043;WELL2
LR044;WELL3
LR045;WELL4
LR046;M01
LR047;M02
LR048;M03
LR049;M04
LR050;M05
LR051;M06
LR052;M07
LR053;M08
LR054;SWPR01
LR055;SWPR02
LR056;SWPR03
LR057;SWPR04
LR058;SWPR05
LR059;SWPR06
LR060;SWPR07
LR061;SWPR08
LR062;SWPR09
LR063;SWPR10
LR064;SWLR01
LR065;SWLR02
LR066;SWLR03
LR067;SWLR04
LR068;SPR01
LR069;SPR02
LR070;SPR03
LR071;SPR04
LR072;SPR05
LR073;SPR06
LR074;SPR07
LR075;SPR08
LR076;SPR09
LR077;SPR10
LR078;SLR01
LR079;SLR02
LR080;SLR04
LR081;SEDLR10
LR082;SEDLR12
LR083;SEDLR14
LR084;SEDL313
LR085;SEDL314
LR086;SED315
LR087;SED316
LR088;SED317
LR089;SED318
LR090;SED319
LR091;LRH11
LR092;LRH14
LR093;LRH15
LR094;LR24
LR095;LR27
LR096;LR29
LR097;LR31
LR098;LR32
LR099;LR34
LR100;LR35
LR101;LR36
LR102;LR37
LR103;LR38
LR104;LR39
LR105;LR40
LR106;LR41
LR107;LR42
LR108;LR44
LR109;LR45
LR110;LR47
LR111;LR48
LR112;RO2-16
LR113;RO2-19
LR114;RO2-20
LR115;RO2-21
LR116;RO2-22
LR117;RO2-23
LR118;RO2-26
LR119;RO2-28
LR120;RO2-29
LR121;T27
LR122;T37
LR123;T38
LR124;PR13
LR125;PR15
LR126;PR17
LR127;PR19
LR128;PR21
LR129;PR23
LR130;L321
LR131;L322
LR132;L323
LR133;L324
LR134;L325
LR135;L326
LR136;L327
LR137;M09
LR138;M10
LR139;M11
LR140;M12
LR141;M13
LR142;M14
LR143;M15
LR144;M16
LR145;SWPR13
LR146;SWPR16
LR147;SWPR18
LR148;SWPR20
LR149;SWPR21
LR150;SWPR23
LR151;SWL322
LR152;SWL323
LR153;SWL325
LR154;SWL326
LR155;SWL327
LR156;SWT21
LR157;SWT25
LR158;SWT27
LR159;SWT29
LR160;SPR13
LR161;SPR16
LR162;SPR18
LR163;SPR20
LR164;SPR21
LR165;SPR23
LR166;SL322
LR167;SL323
LR168;SL325
LR169;SL326
LR170;SL327
LR171;ST21
LR173;ST27
LR176;SEDL323
LR177;SEDL324
LR178;SEDL325
LR179;SEDL326
LR180;SEDL327
LR181;SEDLR35
LR182;SEDLR36
LR183;SEDLR39
LR184;LR32 A1BIO
LR185;LR32 B1BIO
LR186;PR19 A1BIO
LR187;PR19 B1BIO
LR188;RO2-22 A1BIO
LR189;RO2-22 B1BIO
LR190;L325 A1BIO
LR191;L325 B1BIO
LR192;L327 A1BIO
LR193;L327 B1 BIO
LR194;PR23 A1BIO
LR195;PR23 B1BIO
