sample_name,year,plate,submission
LR001,2015,1,1
LR002,2015,1,1
LR002d,2015,2,1
LR003,2015,1,1
LR004,2015,1,1
LR005,2015,1,1
LR006,2015,1,1
LR007,2015,1,1
LR008,2015,1,1
LR009,2015,1,1
LR010,2015,1,1
LR011,2015,1,1
LR012,2015,1,1
LR013,2015,1,1
LR014,2015,1,1
LR015,2015,1,1
LR016,2015,1,1
LR017,2015,1,1
LR018,2015,1,1
LR018d,2015,2,1
LR019,2015,1,1
LR020,2015,1,1
LR021,2015,1,1
LR022,2015,1,1
LR023,2015,1,1
LR024,2015,1,1
LR025,2015,1,1
LR026,2015,1,1
LR027,2015,1,1
LR028,2015,1,1
LR029,2015,1,1
LR030,2015,1,1
LR031,2015,1,1
LR032,2015,1,1
LR033,2015,1,1
LR034,2015,1,1
LR035,2015,1,1
LR036,2015,1,1
LR037,2015,1,1
LR038,2015,1,1
LR039,2015,1,1
LR040,2015,1,1
LR041,2015,1,1
LR042,2015,1,1
LR043,2015,1,1
LR044,2015,1,1
LR045,2015,1,1
LR046,2015,1,1
LR047,2015,1,1
LR048,2015,1,1
LR049,2015,1,1
LR050,2015,1,1
LR051,2015,1,1
LR052,2015,1,1
LR053,2015,1,1
LR053d,2015,2,1
LR054,2015,1,1
LR055,2015,1,1
LR055d,2015,3,1
LR056,2015,1,1
LR057,2015,1,1
LR058,2015,1,1
LR059,2015,1,1
LR060,2015,1,1
LR061,2015,1,1
LR062,2015,1,1
LR063,2015,1,1
LR064,2015,1,1
LR065,2015,1,1
LR066,2015,1,1
LR067,2015,1,1
LR068,2015,1,1
LR069,2015,1,1
LR070,2015,1,1
LR071,2015,1,1
LR072,2015,1,1
LR073,2015,1,1
LR074,2015,1,1
LR075,2015,1,1
LR076,2015,1,1
LR077,2015,1,1
LR078,2015,1,1
LR079,2015,1,1
LR080,2015,1,1
LR081,2015,1,1
LR081d,2015,3,1
LR082,2015,1,1
LR083,2015,1,1
LR084,2015,1,1
LR085,2015,1,1
LR086,2015,1,1
LR086d,2015,3,1
LR087,2015,1,1
LR088,2015,1,1
LR089,2015,1,1
LR090,2015,1,1
LR091,2015,1,1
LR092,2015,1,1
LR093,2015,1,1
LR094,2015,1,1
LR095,2015,1,1
LR096,2015,1,1
LR097,2015,1,1
LR098,2015,1,1
LR099,2015,1,1
LR100,2015,1,1
LR101,2015,1,1
LR102,2015,1,1
LR103,2015,1,1
LR104,2015,1,1
LR105,2015,1,1
LR106,2015,1,1
LR107,2015,1,1
LR108,2015,1,1
LR109,2015,1,1
LR110,2015,1,1
LR111,2015,1,1
LR111d,2015,4,1
LR112,2015,1,1
LR113,2015,1,1
LR114,2015,1,1
LR115,2015,1,1
LR116,2015,1,1
LR117,2015,1,1
LR118,2015,1,1
LR119,2015,1,1
LR120,2015,1,1
LR121,2015,1,1
LR122,2015,1,1
LR123,2015,1,1
LR124,2015,1,1
LR125,2015,1,1
LR126,2015,1,1
LR127,2015,1,1
LR128,2015,1,1
LR128d,2015,4,1
LR129,2015,1,1
LR130,2015,1,1
LR131,2015,1,1
LR132,2015,1,1
LR133,2015,1,1
LR134,2015,1,1
LR135,2015,1,1
LR136,2015,1,1
LR137,2015,1,1
LR138,2015,1,1
LR139,2015,1,1
LR140,2015,1,1
LR141,2015,1,1
LR142,2015,1,1
LR143,2015,1,1
LR144,2015,1,1
LR145,2015,1,1
LR146,2015,1,1
LR147,2015,1,1
LR148,2015,1,1
LR149,2015,1,1
LR149d,2015,4,1
LR150,2015,1,1
LR151,2015,1,1
LR152,2015,1,1
LR153,2015,1,1
LR154,2015,1,1
LR155,2015,1,1
LR156,2015,1,1
LR157,2015,1,1
LR158,2015,1,1
LR159,2015,1,1
LR160,2015,1,1
LR161,2015,1,1
LR162,2015,1,1
LR163,2015,1,1
LR164,2015,1,1
LR165,2015,1,1
LR166,2015,1,1
LR167,2015,1,1
LR168,2015,1,1
LR169,2015,1,1
LR170,2015,1,1
LR171,2015,1,1
LR173,2015,1,1
LR176,2015,1,1
LR177,2015,1,1
LR178,2015,1,1
LR179,2015,1,1
LR180,2015,1,1
LR181,2015,1,1
LR182,2015,1,1
LR183,2015,1,1
LR184,2015,1,1
LR185,2015,1,1
LR186,2015,1,1
LR187,2015,1,1
LR188,2015,1,1
LR189,2015,1,1
LR190,2015,1,1
LR191,2015,1,1
LR192,2015,1,1
LR193,2015,1,1
LR194,2015,1,1
LR195,2015,1,1
Blank,2016,5,1
HW24,2016,5,1
HW25,2016,5,1
HW26,2016,5,1
HW27,2016,5,1
HW32,2016,5,1
HW33,2016,5,1
HW34,2016,5,1
HW35,2016,5,1
HW36,2016,5,1
HW37,2016,5,1
HW40,2016,5,1
HW42,2016,5,1
HW43,2016,5,1
L329.1,2016,5,1
L329.2,2016,5,1
L330,2016,5,1
L330,2016,5,1
L331,2016,5,1
L332,2016,5,1
L333,2016,5,1
L334,2016,5,1
L335.1,2016,5,1
L336.2,2016,5,1
LR51,2016,5,1
LR55,2016,5,1
LR60,2016,5,1
LR63,2016,5,1
LR64,2016,5,1
LR65,2016,5,1
LR68,2016,5,1
