"seq_name","dr_match_name","replicate","dna_type","seq_depth","plate.id","year","season","sampling.date","lat","long","sample.type.year"
"L313D","L313",1,"DNA","Shallow",1,2015,"Spring","2015-06-16",51.18194,-63.92686,"PRLake"
"L313-s2-D","L313",2,"DNA","Shallow",1,2015,"Spring","2015-06-16",51.18194,-63.92686,"PRLake"
"L314D","L314",1,"DNA","Shallow",1,2015,"Spring","2015-06-17",51.17814,-63.92364,"PRLake"
"L314-s2-D","L314",2,"DNA","Shallow",1,2015,"Spring","2015-06-17",51.17814,-63.92364,"PRLake"
"L315D","L315",1,"DNA","Shallow",1,2015,"Spring","2015-06-17",51.18145,-63.89828,"PRLake"
"L315-s2-D","L315",2,"DNA","Shallow",1,2015,"Spring","2015-06-17",51.18145,-63.89828,"PRLake"
"L316D","L316",1,"DNA","Shallow",1,2015,"Spring","2015-06-17",51.18873,-63.90278,"PRLake"
"L316-s2-D","L316",2,"DNA","Shallow",1,2015,"Spring","2015-06-17",51.18873,-63.90278,"PRLake"
"L317D","L317",1,"DNA","Shallow",1,2015,"Spring","2015-06-17",51.18144,-63.92325,"PRLake"
"L317-s2-D","L317",2,"DNA","Shallow",1,2015,"Spring","2015-06-17",51.18144,-63.92325,"PRLake"
"L318D","L318",1,"DNA","Shallow",1,2015,"Spring","2015-06-17",50.22601,-63.91127,"IslandLake"
"L318-s2-D","L318",2,"DNA","Shallow",1,2015,"Spring","2015-06-17",50.22601,-63.91127,"IslandLake"
"L319D","L319",1,"DNA","Shallow",1,2015,"Spring","2015-06-17",50.21503,-63.89979,"IslandLake"
"L319-s2-D","L319",2,"DNA","Shallow",1,2015,"Spring","2015-06-17",50.21503,-63.89979,"IslandLake"
"L320D","L320",1,"DNA","Shallow",1,2015,"Spring","2015-06-17",50.21899,-63.82191,"IslandLake"
"L320-s2-D","L320",2,"DNA","Shallow",1,2015,"Spring","2015-06-17",50.21899,-63.82191,"IslandLake"
"LR01D","LR01",1,"DNA","Shallow",1,2015,"Spring","2015-06-07",50.3808166666667,-63.2654833333333,"Downriver"
"LR01-s2-D","LR01",2,"DNA","Shallow",1,2015,"Spring","2015-06-07",50.3808166666667,-63.2654833333333,"Downriver"
"LR03D","LR03",1,"DNA","Shallow",1,2015,"Spring","2015-06-08",50.6206,-63.17048,"Downriver"
"LR03-s2-D","LR03",2,"DNA","Shallow",1,2015,"Spring","2015-06-08",50.6206,-63.17048,"Downriver"
"LR05D","LR05",1,"DNA","Shallow",1,2015,"Spring","2015-06-09",50.53663,-63.22217,"Downriver"
"LR05-s2-D","LR05",2,"DNA","Shallow",1,2015,"Spring","2015-06-09",50.53663,-63.22217,"Downriver"
"LR06D","LR06",1,"DNA","Shallow",1,2015,"Spring","2015-06-10",50.31046,-63.6461,"Downriver"
"LR06-s2-D","LR06",2,"DNA","Shallow",1,2015,"Spring","2015-06-10",50.31046,-63.6461,"Downriver"
"LR09D","LR09",1,"DNA","Shallow",1,2015,"Spring","2015-06-11",51.15221,-63.39813,"Upriver"
"LR09-s2-D","LR09",2,"DNA","Shallow",1,2015,"Spring","2015-06-11",51.15221,-63.39813,"Upriver"
"LR10D","LR10",1,"DNA","Shallow",1,2015,"Spring","2015-06-14",52.27356,-63.77532,"HeadwaterLakes"
"LR10-s2-D","LR10",2,"DNA","Shallow",1,2015,"Spring","2015-06-14",52.27356,-63.77532,"HeadwaterLakes"
"LR12D","LR12",1,"DNA","Shallow",1,2015,"Spring","2015-06-14",52.35785,-64.00396,"HeadwaterLakes"
"LR12-s2-D","LR12",2,"DNA","Shallow",1,2015,"Spring","2015-06-14",52.35785,-64.00396,"HeadwaterLakes"
"LR13D","LR13",1,"DNA","Shallow",1,2015,"Spring","2015-06-14",52.05514,-63.69982,"HeadwaterLakes"
"LR13-s2-D","LR13",2,"DNA","Shallow",1,2015,"Spring","2015-06-14",52.05514,-63.69982,"HeadwaterLakes"
"LR14D","LR14",1,"DNA","Shallow",1,2015,"Spring","2015-06-14",52.09031,-63.83427,"HeadwaterLakes"
"LR14-s2-D","LR14",2,"DNA","Shallow",1,2015,"Spring","2015-06-14",52.09031,-63.83427,"HeadwaterLakes"
"LR15D","LR15",1,"DNA","Shallow",1,2015,"Spring","2015-06-15",52.0642,-63.84167,"Upriver"
"LR15-s2-D","LR15",2,"DNA","Shallow",1,2015,"Spring","2015-06-15",52.0642,-63.84167,"Upriver"
"LR17D","LR17",1,"DNA","Shallow",1,2015,"Spring","2015-06-15",51.78004,-63.7155,"Upriver"
"LR17-s2-D","LR17",2,"DNA","Shallow",1,2015,"Spring","2015-06-15",51.78004,-63.7155,"Upriver"
"LR18DSeq","LR18",1,"DNA","Deep",2,2015,"Spring","2015-06-16",50.31445,-63.54765,"Downriver"
"LR18D","LR18",1,"DNA","Shallow",1,2015,"Spring","2015-06-16",50.31445,-63.54765,"Downriver"
"LR18-s2-D","LR18",2,"DNA","Shallow",1,2015,"Spring","2015-06-16",50.31445,-63.54765,"Downriver"
"LR18-s2-DSeq","LR18",2,"DNA","Deep",2,2015,"Spring","2015-06-16",50.31445,-63.54765,"Downriver"
"LR19D","LR19",1,"DNA","Shallow",1,2015,"Spring","2015-06-16",51.70176,-63.72171,"Upriver"
"LR19-s2-D","LR19",2,"DNA","Shallow",1,2015,"Spring","2015-06-16",51.70176,-63.72171,"Upriver"
"LR20D","LR20",1,"DNA","Shallow",1,2015,"Spring","2015-06-16",51.38239,-63.5853,"Upriver"
"LR20-s2-D","LR20",2,"DNA","Shallow",1,2015,"Spring","2015-06-16",51.38239,-63.5853,"Upriver"
"LRH04D","LRH04",1,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.31684,-63.30894,"Downriver"
"LRH04-s2-D","LRH04",2,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.31684,-63.30894,"Downriver"
"LRH07D","LRH07",1,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.30083,-63.81233,"Downriver"
"LRH07-s2-D","LRH07",2,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.30083,-63.81233,"Downriver"
"LRH08D","LRH08",1,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.30064,-63.81285,"Downriver"
"LRH08-s2-D","LRH08",2,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.30064,-63.81285,"Downriver"
"LRH09D","LRH09",1,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.29303,-63.811132,"Downriver"
"LRH09-s2-D","LRH09",2,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.29303,-63.811132,"Downriver"
"LRH10D","LRH10",1,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.29588,-63.804823,"Downriver"
"LRH10-s2-D","LRH10",2,"DNA","Shallow",1,2015,"Spring","2015-06-12",50.29588,-63.804823,"Downriver"
"M01D","M01",1,"DNA","Shallow",1,2015,"Spring","2015-06-18",50.28242,-63.86163,"Marine"
"M01-s2-D","M01",2,"DNA","Shallow",1,2015,"Spring","2015-06-18",50.28242,-63.86163,"Marine"
"M02D","M02",1,"DNA","Shallow",1,2015,"Spring","2015-06-18",50.27224,-63.85679,"Marine"
"M02-s2-D","M02",2,"DNA","Shallow",1,2015,"Spring","2015-06-18",50.27224,-63.85679,"Marine"
"M03D","M03",1,"DNA","Shallow",1,2015,"Spring","2015-06-18",50.2566,-63.8327,"Marine"
"M03-s2-D","M03",2,"DNA","Shallow",1,2015,"Spring","2015-06-18",50.2566,-63.8327,"Marine"
"M04D","M04",1,"DNA","Shallow",1,2015,"Spring","2015-06-18",50.24688,-63.78448,"Marine"
