sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
L313-s2-D	L313-s2-D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L313-s2-D_R1.fastq.gz	L313-s2-D_R2.fastq.gz
L314-s2-D	L314-s2-D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L314-s2-D_R1.fastq.gz	L314-s2-D_R2.fastq.gz
L315-s2-D	L315-s2-D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L315-s2-D_R1.fastq.gz	L315-s2-D_R2.fastq.gz
L316-s2-D	L316-s2-D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L316-s2-D_R1.fastq.gz	L316-s2-D_R2.fastq.gz
L317-s2-D	L317-s2-D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L317-s2-D_R1.fastq.gz	L317-s2-D_R2.fastq.gz
L318-s2-D	L318-s2-D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L318-s2-D_R1.fastq.gz	L318-s2-D_R2.fastq.gz
L319-s2-D	L319-s2-D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L319-s2-D_R1.fastq.gz	L319-s2-D_R2.fastq.gz
L320-s2-D	L320-s2-D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L320-s2-D_R1.fastq.gz	L320-s2-D_R2.fastq.gz
LR01-s2-D	LR01-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR01-s2-D_R1.fastq.gz	LR01-s2-D_R2.fastq.gz
LR03-s2-D	LR03-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR03-s2-D_R1.fastq.gz	LR03-s2-D_R2.fastq.gz
LR05-s2-D	LR05-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR05-s2-D_R1.fastq.gz	LR05-s2-D_R2.fastq.gz
LR06-s2-D	LR06-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR06-s2-D_R1.fastq.gz	LR06-s2-D_R2.fastq.gz
LR09-s2-D	LR09-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR09-s2-D_R1.fastq.gz	LR09-s2-D_R2.fastq.gz
LR10-s2-D	LR10-s2-D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR10-s2-D_R1.fastq.gz	LR10-s2-D_R2.fastq.gz
LR12-s2-D	LR12-s2-D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR12-s2-D_R1.fastq.gz	LR12-s2-D_R2.fastq.gz
LR13-s2-D	LR13-s2-D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR13-s2-D_R1.fastq.gz	LR13-s2-D_R2.fastq.gz
LR14-s2-D	LR14-s2-D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR14-s2-D_R1.fastq.gz	LR14-s2-D_R2.fastq.gz
