sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	nucleic_acid_type	replicate	sampling_depth_m
L313-s2-D	L313	PRJNA693020	Pond metagenome	NA	Pond	2015-06-16	Canada:Quebec	51.18194 N 63.92686 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
L314-s2-D	L314	PRJNA693020	Pond metagenome	NA	Pond	2015-06-17	Canada:Quebec	51.17814 N 63.92364 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
L315-s2-D	L315	PRJNA693020	Pond metagenome	NA	Pond	2015-06-17	Canada:Quebec	51.18145 N 63.89828 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
L316-s2-D	L316	PRJNA693020	Pond metagenome	NA	Pond	2015-06-17	Canada:Quebec	51.18873 N 63.90278 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
L317-s2-D	L317	PRJNA693020	Pond metagenome	NA	Pond	2015-06-17	Canada:Quebec	51.18144 N 63.92325 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
L318-s2-D	L318	PRJNA693020	Lake metagenome	NA	Lake	2015-06-17	Canada:Quebec	50.22601 N 63.91127 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
L319-s2-D	L319	PRJNA693020	Lake metagenome	NA	Lake	2015-06-17	Canada:Quebec	50.21503 N 63.89979 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
L320-s2-D	L320	PRJNA693020	Lake metagenome	NA	Lake	2015-06-17	Canada:Quebec	50.21899 N 63.82191 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR01-s2-D	LR01	PRJNA693020	River metagenome	NA	River	2015-06-07	Canada:Quebec	50.3808166666667 N 63.2654833333333 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR03-s2-D	LR03	PRJNA693020	River metagenome	NA	River	2015-06-08	Canada:Quebec	50.6206 N 63.17048 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR05-s2-D	LR05	PRJNA693020	River metagenome	NA	River	2015-06-09	Canada:Quebec	50.53663 N 63.22217 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR06-s2-D	LR06	PRJNA693020	River metagenome	NA	River	2015-06-10	Canada:Quebec	50.31046 N 63.6461 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR09-s2-D	LR09	PRJNA693020	River metagenome	NA	River	2015-06-11	Canada:Quebec	51.15221 N 63.39813 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR10-s2-D	LR10	PRJNA693020	Lake metagenome	NA	Lake	2015-06-14	Canada:Quebec	52.27356 N 63.77532 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR12-s2-D	LR12	PRJNA693020	Lake metagenome	NA	Lake	2015-06-14	Canada:Quebec	52.35785 N 64.00396 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR13-s2-D	LR13	PRJNA693020	Lake metagenome	NA	Lake	2015-06-14	Canada:Quebec	52.05514 N 63.69982 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR14-s2-D	LR14	PRJNA693020	Lake metagenome	NA	Lake	2015-06-14	Canada:Quebec	52.09031 N 63.83427 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR15-s2-D	LR15	PRJNA693020	River metagenome	NA	River	2015-06-15	Canada:Quebec	52.0642 N 63.84167 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR17-s2-D	LR17	PRJNA693020	River metagenome	NA	River	2015-06-15	Canada:Quebec	51.78004 N 63.7155 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR18-s2-D	LR18	PRJNA693020	River metagenome	NA	River	2015-06-16	Canada:Quebec	50.31445 N 63.54765 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR19-s2-D	LR19	PRJNA693020	River metagenome	NA	River	2015-06-16	Canada:Quebec	51.70176 N 63.72171 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LR20-s2-D	LR20	PRJNA693020	River metagenome	NA	River	2015-06-16	Canada:Quebec	51.38239 N 63.5853 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LRH04-s2-D	LRH04	PRJNA693020	River metagenome	NA	River	2015-06-12	Canada:Quebec	50.31684 N 63.30894 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LRH07-s2-D	LRH07	PRJNA693020	River metagenome	NA	River	2015-06-12	Canada:Quebec	50.30083 N 63.81233 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LRH08-s2-D	LRH08	PRJNA693020	River metagenome	NA	River	2015-06-12	Canada:Quebec	50.30064 N 63.81285 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LRH09-s2-D	LRH09	PRJNA693020	River metagenome	NA	River	2015-06-12	Canada:Quebec	50.29303 N 63.811132 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
LRH10-s2-D	LRH10	PRJNA693020	River metagenome	NA	River	2015-06-12	Canada:Quebec	50.29588 N 63.804823 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
M01-s2-D	M01	PRJNA693020	Estuary metagenome	NA	Estuary	2015-06-18	Canada:Quebec	50.28242 N 63.86163 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
M02-s2-D	M02	PRJNA693020	Estuary metagenome	NA	Estuary	2015-06-18	Canada:Quebec	50.27224 N 63.85679 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
M03-s2-D	M03	PRJNA693020	Estuary metagenome	NA	Estuary	2015-06-18	Canada:Quebec	50.2566 N 63.8327 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
M04-s2-D	M04	PRJNA693020	Estuary metagenome	NA	Estuary	2015-06-18	Canada:Quebec	50.24688 N 63.78448 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
M05-s2-D	M05	PRJNA693020	Estuary metagenome	NA	Estuary	2015-06-18	Canada:Quebec	50.24012 N 63.7585 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
M06-s2-D	M06	PRJNA693020	Estuary metagenome	NA	Estuary	2015-06-18	Canada:Quebec	50.23954 N 63.72033 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
M07-s2-D	M07	PRJNA693020	Estuary metagenome	NA	Estuary	2015-06-18	Canada:Quebec	50.21693 N 63.70586 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
M08-s2-D	M08	PRJNA693020	Estuary metagenome	NA	Estuary	2015-06-18	Canada:Quebec	50.18846 N 63.69431 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
PR01-s2-D	PR01	PRJNA693020	Stream metagenome	NA	Stream	2015-06-07	Canada:Quebec	51.368157 N 63.876955 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
PR03-s2-D	PR03	PRJNA693020	Stream metagenome	NA	Stream	2015-06-08	Canada:Quebec	51.21028 N 63.92063 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
PR05-s2-D	PR05	PRJNA693020	Stream metagenome	NA	Stream	2015-06-13	Canada:Quebec	51.20287 N 63.92476 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
PR07-s2-D	PR07	PRJNA693020	Stream metagenome	NA	Stream	2015-06-13	Canada:Quebec	51.1863 N 63.9319 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
PR09-s2-D	PR09	PRJNA693020	Stream metagenome	NA	Stream	2015-06-14	Canada:Quebec	51.30254 N 63.87091 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
PR11-s2-D	PR11	PRJNA693020	Stream metagenome	NA	Stream	2015-06-15	Canada:Quebec	51.3055 N 63.86446 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
RO201-s2-D	RO201	PRJNA693020	Reservoir metagenome	NA	Reservoir	2015-06-10	Canada:Quebec	50.65452 N 63.26094 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
RO203-s2-D	RO203	PRJNA693020	Reservoir metagenome	NA	Reservoir	2015-06-11	Canada:Quebec	50.85649 N 63.14495 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
RO205-s2-D	RO205	PRJNA693020	Reservoir metagenome	NA	Reservoir	2015-06-13	Canada:Quebec	50.88609 N 63.22355 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
RO206-s2-D	RO206	PRJNA693020	Reservoir metagenome	NA	Reservoir	2015-06-13	Canada:Quebec	51.05861 N 63.19688 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
RO207-s2-D	RO207	PRJNA693020	Reservoir metagenome	NA	Reservoir	2015-06-13	Canada:Quebec	51.03348 N 63.29688 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
RO208-s2-D	RO208	PRJNA693020	Reservoir metagenome	NA	Reservoir	2015-06-13	Canada:Quebec	51.0619 N 63.35868 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
RO209-s2-D	RO209	PRJNA693020	Reservoir metagenome	NA	Reservoir	2015-06-13	Canada:Quebec	50.93158 N 63.35123 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
RO213-s2-D	RO213	PRJNA693020	Reservoir metagenome	NA	Reservoir	2015-06-17	Canada:Quebec	50.965944 N 63.296111 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	0.3
SLR01-s2-D	SLR01	PRJNA693020	Soil metagenome	NA	Soil	2015-06-09	Canada:Quebec	50.55314 N 63.21136 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SLR02-s2-D	SLR02	PRJNA693020	Soil metagenome	NA	Soil	2015-06-09	Canada:Quebec	50.43434 N 63.25355 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SLR04-s2-D	SLR04	PRJNA693020	Soil metagenome	NA	Soil	2015-06-15	Canada:Quebec	50.3795 N 63.26425 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR01-s2-D	SPR01	PRJNA693020	Soil metagenome	NA	Soil	2015-06-07	Canada:Quebec	51.368157 N 63.876955 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR02-s2-D	SPR02	PRJNA693020	Soil metagenome	NA	Soil	2015-06-08	Canada:Quebec	51.21028 N 63.92063 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR03-s2-D	SPR03	PRJNA693020	Soil metagenome	NA	Soil	2015-06-13	Canada:Quebec	51.20287 N 63.92476 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR05-s2-D	SPR05	PRJNA693020	Soil metagenome	NA	Soil	2015-06-14	Canada:Quebec	51.303572 N 63.869197 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR06-s2-D	SPR06	PRJNA693020	Soil metagenome	NA	Soil	2015-06-16	Canada:Quebec	51.30408 N 63.85239 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR07-s2-D	SPR07	PRJNA693020	Soil metagenome	NA	Soil	2015-06-17	Canada:Quebec	51.17814 N 63.92364 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR08-s2-D	SPR08	PRJNA693020	Soil metagenome	NA	Soil	2015-06-17	Canada:Quebec	51.18873 N 63.90278 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR09-s2-D	SPR09	PRJNA693020	Soil metagenome	NA	Soil	2015-06-17	Canada:Quebec	51.18144 N 63.92325 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR10-s2-D	SPR10	PRJNA693020	Soil metagenome	NA	Soil	2015-06-17	Canada:Quebec	50.22601 N 63.91127 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
SPR04-s2-D	SPR04	PRJNA693020	Soil metagenome	NA	Soil	2015-06-13	Canada:Quebec	51.1863 N 63.9319 W	NA	NA	NA	NA	NA	NA	NA	DNA	2	NA
